, ab2B, ab3B, ab4B, ab5B, ac1a, ac1b, ac2a, ac2b, ac3a, ac4, Gr21a, Or10a, Or13a, Or19a, Or1a, Or22a, Or22b, Or22c, Or23a, Or24a, Or2a, Or30a, Or33a, Or33b, Or33c, Or35a, Or42a, Or42b, Or43a, Or43b, Or45a, Or45b, Or46a, Or47a, Or47b, Or49a, Or49b, Or56a, Or59a, Or59b, Or59c, Or63a, Or65a, Or67a, Or67b, Or67c, Or67d, Or69a, Or71a, Or74a, Or7a, Or82a, Or83a, Or83c, Or85a, Or85b, Or85c, Or85d, Or85e, Or85f, Or88a, Or92a, Or94a, Or94b, Or98a, Or9a, pb2A
CCC=O, nan, nan, nan, nan, 0.0289881297047, 0.117666778411, 0.122536656265, 0.121111418813, 0.662420382166, 0.117221950024, nan, 0.0355230430255, 0.0484362902203, 0.0, nan, 0.123177247449, nan, nan, 0.00877061615479, nan, 0.0741001783941, nan, nan, 0.0397636468826, nan, 0.0200228844917, nan, nan, 0.0, 0.0884313290549, nan, nan, nan, 0.063932133181, 0.0, nan, 0.00419014603863, nan, nan, 0.0459901976937, nan, nan, 0.0333736020311, 0.0279335347325, 0.177429501185, 0.048226112819, nan, nan, nan, nan, 0.1041856912, 0.0, nan, nan, 0.091974573089, 0.206114504613, nan, nan, nan, 0.0597623502007, 0.039550687072, 0.0509989716009, nan, nan, 0.0633953316723, 0.0960624583706, nan
CCCC=O, nan, nan, nan, nan, 0.0837434858135, 0.0915186054308, 0.150814346172, 0.106341733592, 0.489076730758, 0.170504654581, nan, 0.033894635089, 0.0643264279418, 0.0324463499338, nan, 0.112127341054, nan, nan, 0.00657796211609, nan, 0.176456727924, nan, nan, 0.0269549520881, nan, 0.384094071507, nan, nan, 0.0444817000644, 0.218871679385, nan, nan, nan, 0.104100473587, 0.080182830327, nan, 0.0050587322466, nan, nan, 0.038397527847, nan, nan, 0.0442325543471, 0.165452563464, 0.215499557185, 0.0563593353187, nan, nan, nan, nan, 0.270563924567, 0.0296757208199, nan, nan, 0.0611461220843, 0.209722327293, nan, nan, nan, 0.0850685801149, 0.0526545522226, 0.0184871348442, nan, nan, 0.111398881404, 0.0960624583706, nan
CCCCC=O, nan, nan, nan, nan, 0.0708598726115, 0.113308749581, 0.147672380627, 0.100433859503, 0.142389427942, 0.152743753062, nan, 0.054690145949, 0.0932100527403, 0.074163085563, nan, 0.246930958797, nan, nan, 0.00877061615479, nan, 0.0863083816453, nan, nan, 0.0397636468826, nan, 0.462740751724, nan, nan, 0.040033530058, 0.0787157668155, nan, nan, nan, 0.138359531586, 0.0998509027716, nan, 0.00419014603863, nan, nan, 0.0434556180188, nan, nan, 0.0613447212622, 0.124999949691, 0.587259596702, 0.0549953772151, nan, nan, nan, nan, 0.558054339237, 0.0352525044606, nan, nan, 0.0382920923278, 0.213315149529, nan, nan, nan, 0.10450520544, 0.0548385297477, 0.0178130353483, nan, nan, 0.114599118053, 0.157262749519, nan
CCCCCC=O, nan, nan, nan, nan, 0.109510712218, 0.108950720751, 0.0534134142692, 0.0561248038401, 0.0866718257039, 0.113669769721, nan, 0.120546111635, 0.145339175568, 0.0533047177484, nan, 0.229167692114, nan, nan, 0.0644822492251, nan, 0.0770643395561, nan, nan, 0.00685508488019, nan, 0.733834485986, nan, nan, 0.0724472009652, 0.190910280072, nan, nan, nan, 0.204501917081, 0.0915201462521, nan, 0.00766671242526, nan, nan, 0.0587188944865, nan, nan, 0.0989701188505, 0.0838838037129, 0.30513872954, 0.048226112819, nan, nan, nan, nan, 0.578591412938, 0.0315478463187, nan, nan, 0.106145238034, 0.879998296353, nan, nan, nan, 0.148357409472, 0.039550687072, 0.0140296806531, nan, nan, 0.120999591351, 0.190082083547, nan
CCC\C=C\C=O, 0.0239285649191, 0.177483712973, 0.0, 0.0399536461258, 0.0289881297047, 0.113308749581, 0.147672380627, 0.203821656051, 0.11762604917, 0.191817736404, 0.242508353095, 0.0633692426838, 0.284334005142, 0.199041081788, 0.0426487093154, 0.0853618863774, 0.0289855072464, 0.0637163865863, 0.20321900588, 0.0493073022717, 0.0547623579331, 0.029592084642, 0.0383838383838, 0.0196727725697, 0.179204462517, 0.737521064816, 0.639282638559, 0.139266831868, 0.251846530895, 0.310043890621, 0.329201917423, 0.0754091825745, 0.0533421879445, 0.139748396972, 0.276806119568, 0.0901048625746, 0.0190896531612, nan, 0.046005737461, 0.0597235772236, 0.0138187935016, nan, 0.0466155810281, 0.290795104671, 0.395656012717, 0.121890643724, nan, nan, 0.00628725503242, 0.381603246254, 0.812355722794, 0.0467121209209, nan, nan, 0.108761452153, 0.474592767102, 0.414193980925, 0.0912091687475, 0.154716981132, 0.122848868522, 0.0414033545379, 0.0931942533561, 0.0587193089579, 0.0666954483864, 0.130155471338, 0.169155067753, 0.107440334608
O=Cc1ccco1, 0.00829451544177, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 0.724978870047, 0.0, 0.0695278927153, nan, 0.0974454624573, nan, nan, 0.067450448378, nan, 0.0547252514893, nan, nan, 0.128452999907, nan, 0.689330218813, nan, nan, 0.0311371900451, 0.153382217219, nan, nan, nan, 0.0374831508049, 0.113187516044, nan, 0.00766671242526, nan, nan, 0.145155069753, nan, nan, 0.0546298594607, 0.616875005768, 0.0, 0.0773017472232, nan, nan, nan, nan, 0.57507568208, 0.154762981759, nan, nan, 0.0382920923278, 0.238062472103, nan, nan, nan, 0.196609077127, 0.0329987544967, 0.117229014497, nan, nan, 0.133800537946, 0.368025120095, nan
C=CC=O, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 0.028021962982, nan, 0.0927038569537, nan, 0.0507071069393, nan, nan, 0.00657796211609, nan, 0.0627570383711, nan, nan, 0.0519586107181, nan, 0.0440930373278, nan, nan, 0.0574262897471, 0.0754998733704, nan, nan, nan, 0.0435107965773, 0.125880755158, nan, 0.00880640915347, nan, nan, 0.0638366248563, nan, nan, 0.0646445810518, 0.0609499128297, nan, 0.0349109656794, nan, nan, nan, nan, 0.222399142734, 0.00619619648342, nan, nan, 0.103357959992, 0.146182497364, nan, nan, nan, 0.0426988915581, 0.0679423948984, nan, nan, nan, 0.0985979348091, 0.0855880862791, nan
CCCCCCCC=O, nan, nan, nan, nan, 0.074080775912, 0.113308749581, 0.0565553798145, 0.0502169297517, 0.0835764033573, 0.0603870651641, 0.218174256962, nan, 0.112298803038, nan, nan, 0.0639478105323, nan, nan, nan, nan, nan, nan, nan, nan, nan, 0.499903666805, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 0.084503405417, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 0.0178070614127, nan, nan, nan, nan, nan
CCCCCCCCCC=O, nan, nan, nan, nan, 0.0837434858135, 0.0435802883004, 0.0722652075407, 0.0856641742823, 0.0464313351985, 0.0745957863792, nan, nan, 0.0773432632031, nan, nan, 0.0651036539621, nan, nan, nan, nan, nan, nan, nan, nan, nan, 0.253011964512, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 0.157715113309, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 0.0265295994372, nan, nan, nan, nan, nan
CCCCCCC=O, nan, nan, nan, nan, 0.0869643891141, 0.122024807241, 0.0534134142692, 0.0856641742823, 0.0464313351985, 0.0745957863792, nan, nan, 0.18480032708, nan, nan, 0.516081952961, nan, nan, nan, nan, nan, nan, nan, nan, nan, 0.670043035108, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 0.200872371766, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 0.0375925985196, nan, nan, nan, nan, nan
